Date,Country,City,Street,Location,Avg Reliability
"May 30, 2022",BR,Curitiba,Av. Pref. Maurício Fruet,Point(-49.23776 -25.43978),8
"May 30, 2022",BR,Curitiba,R. Durval Borges de Macedo,Point(-49.216419 -25.431603),5
"May 30, 2022",BR,Curitiba,R. Guararapes,Point(-49.290159 -25.457204),8
"May 30, 2022",BR,Curitiba,R. João Manoel,Point(-49.276294 -25.42454),5
"May 30, 2022",BR,Curitiba,R. Itupava,Point(-49.252952 -25.4224),10
"May 30, 2022",BR,Curitiba,R. Nicolau Maeder,Point(-49.260604 -25.416508),9
"May 30, 2022",BR,Pinhais,R. Porto Rico,Point(-49.185204 -25.400634),8
"May 30, 2022",BR,Curitiba,Av. Ver. Toaldo Túlio,Point(-49.348431 -25.41879),6
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.299166 -25.529604),10
"May 30, 2022",BR,Curitiba,R. Sete de Abril,Point(-49.255581 -25.421807),5
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.216493 -25.401813),5
"May 30, 2022",BR,Curitiba,R. Nicolau José Gravina,Point(-49.31182 -25.422481),5
"May 30, 2022",BR,São José dos Pinhais,BR-277 Rod. do Café Gov. Ney Braga,Point(-49.172542 -25.491577),5
"May 30, 2022",BR,Curitiba,R. Teófilo Soares Gomes,Point(-49.233079 -25.427868),6
"May 30, 2022",BR,Curitiba,Av. Victor Ferreira do Amaral,Point(-49.233909 -25.428013),10
"May 30, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.265868 -25.559411),8
"May 30, 2022",BR,Curitiba,PR-418 Contorno Norte,Point(-49.366054 -25.422511),10
"May 30, 2022",BR,Curitiba,Av. Victor Ferreira do Amaral,Point(-49.232968 -25.428122),10
"May 30, 2022",BR,Curitiba,R. Itajubá,Point(-49.295157 -25.480744),5
"May 30, 2022",BR,Curitiba,BR-277 Rod. do Café Gov. Ney Braga,Point(-49.220942 -25.459512),5
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.267317 -25.485136),10
"May 30, 2022",BR,Curitiba,R. Martim Afonso,Point(-49.294118 -25.432119),7
"May 30, 2022",BR,null,BR-116 Contorno Leste,Point(-49.247977 -25.565052),10
"May 30, 2022",BR,Curitiba,PR-418 Contorno Norte,Point(-49.365696 -25.420805),5
"May 30, 2022",BR,Curitiba,R. Eduardo Carlos Pereira,Point(-49.290958 -25.470812),10
"May 30, 2022",BR,Curitiba,R. Brasílio Itiberê,Point(-49.258632 -25.443092),9
"May 30, 2022",BR,São José dos Pinhais,Av. Rui Barbosa,Point(-49.215331 -25.563438),5
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.287642 -25.510637),10
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.275383 -25.495233),10
